hashtag, vader_min, vader_max, vader_sum,vader_avg,  afinn_min, afinn_max, afinn_sum, afinn_avg, ol_min, ol_max, ol_sum, ol_avg, ss_min, ss_max, ss_sum, ss_avg
relaxtime,0.8,0.8,2.4000000000000004,0.8000000000000002,,,,,0.7375,0.7375,0.7375,0.7375,,,,,,,,
melovechilicheese,0.8,0.8,0.8,0.8,,,,,0.9,0.9,0.9,0.9,1.0,1.0,1.0,1.0,0.8,0.8,0.8,0.8
greatmusic,0.8,0.8,2.4000000000000004,0.8000000000000002,1.0,1.0,1.0,1.0,0.8875,0.8875,0.8875,0.8875,1.0,1.0,1.0,1.0,0.8,0.8,0.8,0.8
rockballad,0.7,0.7,0.7,0.7,,,,,,,,,,,,,,,,
amonamarth,0.3,0.3,0.3,0.3,,,,,,,,,0.0,0.0,0.0,0.0,,,,
againbecauseitissogood,0.7,0.7,0.7,0.7,1.0,1.0,1.0,1.0,0.7375,0.7375,0.7375,0.7375,1.0,1.0,1.0,1.0,0.8,0.8,0.8,0.8
cloudnine,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,
sincerelyjoc,0.6,0.6,1.2,0.6,,,,,,,,,,,,,,,,
flunk,0.2,0.2,0.4,0.2,,,,,0.3375,0.3375,0.675,0.3375,,,,,,,,
baila,0.3,0.3,0.6,0.3,,,,,,,,,,,,,,,,
enjoylife,0.8,0.8,2.4000000000000004,0.8000000000000002,,,,,0.775,0.775,0.775,0.775,1.0,1.0,1.0,1.0,0.7,0.7,0.7,0.7
theoldfirmcasuals,,,,,,,,,0.6,0.6,0.6,0.6,,,,,,,,
ledzeppelin,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,
lovermodeon,0.9,0.9,1.8,0.9,,,,,,,,,,,,,,,,
folkrockfriday,0.7,0.7,0.7,0.7,,,,,,,,,,,,,,,,
younganddepressed,0.1,0.1,0.1,0.1,,,,,0.22499999999999998,0.22499999999999998,0.22499999999999998,0.22499999999999998,0.0,0.0,0.0,0.0,,,,
reallylikethedukespirit,0.7,0.7,0.7,0.7,,,,,0.5875,0.6875,1.275,0.6375,1.0,1.0,1.0,1.0,0.6,0.7,1.2999999999999998,0.6499999999999999
